"from","to","strength","direction"
"Day_of_Life","PostMenst_Age",0,0
"Day_of_Life","Gestational_Age",0,0
"Day_of_Life","Birthweight",0,0
"Day_of_Life","Gentamicin",0,0
"Day_of_Life","Cefazolin",0,0
"Day_of_Life","Ampicillin",0,0
"Day_of_Life","Meropenem",0,0
"Day_of_Life","Vancomycin",0,0
"Day_of_Life","Ticarcillin.Clavulanate",0,0
"Day_of_Life","Total_abx",0,0
"Day_of_Life","r_Gentamicin",0,0
"Day_of_Life","r_Meropenem",0,0
"Day_of_Life","r_Ticarcillin.Clavulanate",0,0
"Day_of_Life","r_Vancomycin",0,0
"Day_of_Life","r_Ampicillin",0,0
"Day_of_Life","r_Cefotaxime",0,0
"Day_of_Life","r_TOTAL",0,0
"Day_of_Life","Human_Milk",0,0
"Day_of_Life","Maternal_Milk",0,0
"Day_of_Life","Donor_Milk",0,0
"Day_of_Life","Formula",0,0
"Day_of_Life","Fortification",0,0
"Day_of_Life","Vitamin_A",0,0
"Day_of_Life","Caffeine",0,0
"Day_of_Life","Iron",0,0
"Day_of_Life","Furosemide_Lasix",0,0
"Day_of_Life","m_ampicillin",0,0
"Day_of_Life","m_ceftriaxone",0,0
"Day_of_Life","m_azithromycin",0,0
"Day_of_Life","m_amoxicillin",0,0
"Day_of_Life","m_cefazolin",0,0
"Day_of_Life","m_erythromycin",0,0
"Day_of_Life","m_gentamicin",0,0
"Day_of_Life","m_penicillin",0,0
"Day_of_Life","m_vancomycin",0,0
"Day_of_Life","m_clindamycin",0,0
"Day_of_Life","m_cefotaxime",0,0
"Day_of_Life","dur_membrane_rupture",0,0
"Day_of_Life","CRIB.II.Score",0,0
"Day_of_Life","Total.Antibiotic.Days",0,0
"Day_of_Life","Escherichia.coli.abundance",0,0
"Day_of_Life","Escherichia.coli.PTR",0,0
"Day_of_Life","Klebsiella.aerogenes.abundance",0,0
"Day_of_Life","Klebsiella.aerogenes.PTR",0,0
"Day_of_Life","Staphylococcus.epidermidis.abundance",0,0
"Day_of_Life","Staphylococcus.epidermidis.PTR",0,0
"Day_of_Life","Enterococcus.faecium.abundance",0,0
"Day_of_Life","Enterococcus.faecium.PTR",0,0
"Day_of_Life","Citrobacter.freundii.abundance",0,0
"Day_of_Life","Citrobacter.freundii.PTR",0,0
"Day_of_Life","Klebsiella.pneumoniae.abundance",0,0
"Day_of_Life","Klebsiella.pneumoniae.PTR",0,0
"Day_of_Life","Klebsiella.variicola.abundance",0,0
"Day_of_Life","Klebsiella.variicola.PTR",0,0
"Day_of_Life","Enterobacter.cloacae.abundance",0,0
"Day_of_Life","Enterobacter.cloacae.PTR",0.00833333333333333,0.0416666666666667
"Day_of_Life","Bifidobacterium.longum.abundance",0,0
"Day_of_Life","Bifidobacterium.longum.PTR",0,0
"Day_of_Life","Enterobacter.roggenkampii.abundance",0,0
"Day_of_Life","Enterobacter.roggenkampii.PTR",0.375,0.958333333333333
"Day_of_Life","Enterococcus.faecalis.abundance",0,0
"Day_of_Life","Enterococcus.faecalis.PTR",0,0
"Day_of_Life","Klebsiella.quasipneumoniae.abundance",0,0
