"from","to"
"Staphylococcus.epidermidis.abundance","ARO.3002865dfrC"
"Citrobacter.freundii.abundance","Citrobacter.abundance"
"Bifidobacterium.longum.abundance","ARO.3003730Bifidobacteria"
"Klebsiella.oxytoca.PTR","ARO.3000823ramA"
"Bacteroides.fragilis.abundance","ARO.3000412sul2"
"Bacteroides.fragilis.PTR","ARO.3004039Escherichia"
"Enterobacter.hormaechei.abundance","Enterobacter.sp..CRENT.193.abundance"
"Enterobacter.sp..CRENT.193.abundance","Enterobacter.hormaechei.abundance"
"Citrobacter.abundance","Citrobacter.freundii.abundance"
"ARO.3002865dfrC","Staphylococcus.epidermidis.abundance"
"ARO.3000412sul2","Bacteroides.fragilis.abundance"
"ARO.3003730Bifidobacteria","Bifidobacterium.longum.abundance"
"ARO.3000823ramA","Klebsiella.oxytoca.PTR"
"ARO.3004039Escherichia","Bacteroides.fragilis.PTR"
